Tool,Category,Price,Commission,Cookie,Rating,URL
Cursor,Coding,"Free/$20/mo",30% recurring,90 days,4.9,https://cursor.com
GitHub Copilot,Coding,$19/mo,20% recurring,30 days,4.7,https://github.com/features/copilot
Claude Code,Coding,$20/mo,30% recurring,90 days,4.8,https://anthropic.com/claude-code
Windsurf,Coding,"Free/$15/mo",30% recurring,90 days,4.6,https://windsurf.com
Continue.dev,Coding,Free/20/mo,30% recurring,90 days,4.5,https://continue.dev
ChatGPT,Writing,Free/$20/mo,N/A,30 days,4.9,https://chat.openai.com
Claude,Writing,Free/$20/mo,20% recurring,90 days,4.8,https://claude.ai
Perplexity,Writing,Free/$20/mo,20% recurring,30 days,4.6,https://perplexity.ai
Midjourney,Design,$10/mo,N/A,30 days,4.8,https://midjourney.com
DALL-E 3,Design,$20/mo,N/A,30 days,4.5,https://openai.com/dall-e-3
Notion AI,Productivity,$10/mo,30% recurring,30 days,4.5,https://notion.so/product/ai
ElevenLabs,Voice,$5/mo,30% recurring,90 days,4.7,https://elevenlabs.io
Surfer SEO,Marketing,$89/mo,25% recurring,60 days,4.5,https://surferseo.com
Canva,Design,$13/mo,20% recurring,30 days,4.6,https://canva.com
Zapier,Productivity,Free/$20/mo,20% recurring,90 days,4.5,https://zapier.com
Holo AI,Marketing,Contact us,50% recurring,60 days,4.6,https://holo.ai
AdCreative.ai,Marketing,Contact us,30% lifetime,90 days,4.5,https://adcreative.ai
ElevenLabs,Voice,$5/mo,30% recurring,90 days,4.7,https://elevenlabs.io
Crescion Studio,Marketing,$199/mo,40% recurring,90 days,4.6,https://crescion.ai
RelayGPU,Infrastructure,Pay per use,10% recurring,90 days,4.5,https://relaygpu.com
Zyka.ai,Infrastructure,Contact us,20-40% recurring,90 days,4.5,https://zyka.ai
Godmode,Development,Contact us,30-40% recurring,90 days,4.5,https://getgodmode.dev
Developer Toolkit,Development,$99/mo,30% recurring,60 days,4.5,https://developertoolkit.ai
Runpod,Infrastructure,Pay per use,10% recurring,90 days,4.5,https://runpod.io
Thrubit,Development,Contact us,20%+ recurring,90 days,4.5,https://thrubit.io
